year,pop
1998,275800000
1997,272650000
1996,269390000
1995,266280000
1994,263130000
1993,259920000
1992,256510000
1991,252980000
1990,249620000
1989,246820000
1988,244500000
1987,242290000
1986,240130000
1985,237920000
1984,235820000
1983,233790000
1982,231660000
1981,229470000
1980,227220000
1979,225060000
1978,222580000
1977,220240000
1976,218040000
1975,215970000
1974,213850000
1973,211910000
1972,209900000
1971,207660000
1970,205050000
1969,202680000
1968,200710000
1967,198710000
1966,196560000
1965,194300000
1964,191890000
1963,189240000
1962,186540000
1961,183690000
1960,180670000
1959,177830000
1958,174880000
1957,171980000
1956,168900000
1955,165930000
1954,163030000
1953,160180000
1952,157550000
1951,154880000
1950,152270000
1949,149190000
1948,146630000
1947,144130000
1946,141390000
1945,139930000
1944,138400000
1943,136740000
1942,134860000
1941,133400000
1940,132120000
1939,130880000
1938,129820000
1937,128820000
1936,128050000
1935,127250000
1934,126370000
1933,125580000
1932,124840000
1931,124040000
1930,123080000
1929,121770000
1928,120510000
1927,119040000
1926,117400000
1925,115830000
1924,114110000
1923,111950000
1922,110050000
1921,108540000
1920,106460000
1919,104510000
1918,103210000
1917,103270000
1916,101960000
1915,100550000
1914,99110000
1913,97220000
1912,95330000
1911,93860000
1910,92410000
1909,90490000
1908,88710000
1907,87010000
1906,85450000
1905,83820000
1904,82170000
1903,80630000
1902,79160000
1901,77580000
1900,76090000
